Time,south_north,west_east,XLAT,XLONG,XTIME,T2
0,2,5,28.620201,-92.090454,2024-08-25,302.7889
0,2,6,28.599907,-91.78589,2024-08-25,302.50616
0,2,7,28.578617,-91.48151,2024-08-25,302.24524
0,2,8,28.556305,-91.17731,2024-08-25,302.03867
0,2,9,28.532986,-90.87332,2024-08-25,302.30087
0,2,10,28.508652,-90.56952,2024-08-25,302.4848
0,2,11,28.48331,-90.26593,2024-08-25,302.2799
0,2,12,28.456974,-89.962585,2024-08-25,302.16794
0,2,13,28.429611,-89.659454,2024-08-25,302.24594
0,2,14,28.401253,-89.35657,2024-08-25,302.3009
0,2,15,28.371883,-89.053925,2024-08-25,302.34137
0,2,16,28.34153,-88.75156,2024-08-25,302.36536
0,2,17,28.310165,-88.44943,2024-08-25,302.19885
0,2,18,28.277798,-88.14758,2024-08-25,302.05627
0,2,19,28.244446,-87.84601,2024-08-25,301.99554
0,2,20,28.21009,-87.54474,2024-08-25,302.07452
0,2,21,28.174751,-87.243774,2024-08-25,302.15652
0,2,22,28.138412,-86.943115,2024-08-25,301.91516
0,2,23,28.101093,-86.64276,2024-08-25,301.735
0,2,24,28.06279,-86.34271,2024-08-25,301.89862
0,2,25,28.02351,-86.043,2024-08-25,301.95514
0,2,26,27.983223,-85.74362,2024-08-25,301.96945
0,2,27,27.941978,-85.44461,2024-08-25,301.85907
0,2,28,27.899738,-85.145935,2024-08-25,301.83426
0,2,29,27.856537,-84.847626,2024-08-25,301.6995
0,2,30,27.812366,-84.54968,2024-08-25,301.57327
0,2,31,27.76722,-84.252106,2024-08-25,301.55847
0,2,32,27.721107,-83.954926,2024-08-25,301.58792
0,2,33,27.674034,-83.65814,2024-08-25,301.7467
0,2,34,27.625992,-83.361755,2024-08-25,301.8973
0,2,35,27.576992,-83.065735,2024-08-25,301.93317
0,2,36,27.52705,-82.77017,2024-08-25,302.99063
0,2,37,27.47614,-82.475006,2024-08-25,302.42938
0,2,38,27.424274,-82.18027,2024-08-25,301.25742
0,2,39,27.371471,-81.88599,2024-08-25,300.8484
0,2,40,27.31773,-81.5921,2024-08-25,300.37262
0,2,41,27.263035,-81.298706,2024-08-25,300.33383
0,2,42,27.207405,-81.00574,2024-08-25,300.1922
0,2,43,27.150822,-80.71326,2024-08-25,300.95734
0,2,44,27.093334,-80.421234,2024-08-25,300.47327
0,2,45,27.034908,-80.12967,2024-08-25,301.0713
0,2,46,26.97554,-79.83859,2024-08-25,301.78537
